LSTM 語言模型訓練日誌
啟動時間: 2026-06-04 11:34:49.841177
vocab_size=1675, embed_size=128, hidden_size=128, num_layers=2, dropout=0.3
batch_size=64, lr=0.001, sequence_length=20, val_split=0.1, clip_grad_norm=1.0, min_freq=3, rep_penalty=1.2
================================================================================
 epoch | train_loss |   val_loss |           lr |  grad_norm |                 time
   125 |     2.9922 |     4.9330 |   0.00001000 |     3.1288 |  2026-06-04 11:38:34
   126 |     2.9904 |     4.9330 |   0.00001000 |     3.1045 |  2026-06-04 11:38:36
   127 |     2.9850 |     4.9334 |   0.00001000 |     3.3299 |  2026-06-04 11:38:38
   128 |     2.9909 |     4.9330 |   0.00001000 |     3.0396 |  2026-06-04 11:38:40
   129 |     2.9911 |     4.9334 |   0.00001000 |     3.5503 |  2026-06-04 11:38:41
   130 |     2.9868 |     4.9331 |   0.00001000 |     2.8158 |  2026-06-04 11:38:42
   131 |     2.9903 |     4.9337 |   0.00001000 |     3.2830 |  2026-06-04 11:38:44
   132 |     2.9925 |     4.9336 |   0.00001000 |     4.1336 |  2026-06-04 11:38:45
   133 |     2.9828 |     4.9338 |   0.00001000 |     3.3149 |  2026-06-04 11:38:46
   134 |     2.9877 |     4.9342 |   0.00001000 |     3.5694 |  2026-06-04 11:38:48
   135 |     2.9826 |     4.9343 |   0.00001000 |     3.3578 |  2026-06-04 11:38:50
   136 |     2.9868 |     4.9346 |   0.00001000 |     3.3145 |  2026-06-04 11:38:52
   137 |     2.9836 |     4.9347 |   0.00001000 |     3.6596 |  2026-06-04 11:38:53
   138 |     2.9834 |     4.9345 |   0.00001000 |     2.9449 |  2026-06-04 11:38:55
   139 |     2.9851 |     4.9344 |   0.00001000 |     3.5210 |  2026-06-04 11:38:57
   140 |     2.9861 |     4.9349 |   0.00001000 |     3.6372 |  2026-06-04 11:38:59
   141 |     2.9898 |     4.9346 |   0.00001000 |     3.5930 |  2026-06-04 11:39:01
   142 |     2.9825 |     4.9347 |   0.00001000 |     2.8956 |  2026-06-04 11:39:03
   143 |     2.9893 |     4.9353 |   0.00001000 |     3.2648 |  2026-06-04 11:39:04
   144 |     2.9845 |     4.9356 |   0.00001000 |     3.7205 |  2026-06-04 11:39:07
   145 |     2.9801 |     4.9354 |   0.00001000 |     3.2748 |  2026-06-04 11:39:09
